Fish ID,Fish Species,Age (Weeks),Current Weight (kg),Feed Type,Feed Consumption (g/day),Water Temperature (°C),Dissolved Oxygen (mg/L),Water pH,Stocking Density (fish/m³),Market Price (₹/kg),Expected Harvest Week,Estimated Final Weight (kg)
230,Carp,16,1.47,Medium Protein,25.16,26.54,4.75,7.69,26,217.96,49,3.78
230,Carp,17,1.54,High Protein,33.9,22.24,4.68,7.83,26,244.62,39,3.08
230,Carp,18,1.61,Medium Protein,34.97,29.0,6.99,6.81,27,374.95,45,3.5
230,Carp,19,1.68,Medium Protein,31.98,23.5,6.47,6.73,27,224.49,44,3.43
230,Carp,20,1.75,Medium Protein,35.9,22.75,4.53,7.41,11,376.19,33,2.66
230,Carp,21,1.82,Low Protein,35.23,22.97,6.01,6.89,18,386.57,32,2.59
230,Carp,22,1.89,Low Protein,33.9,24.86,7.31,7.37,11,252.97,34,2.73
230,Carp,23,1.96,Medium Protein,33.24,20.33,4.6,8.09,19,374.18,39,3.08
230,Carp,24,2.03,High Protein,32.96,26.51,4.05,6.91,22,303.63,45,3.5
230,Carp,25,2.1,Low Protein,33.59,29.48,4.53,7.2,24,205.91,40,3.15
230,Carp,26,2.17,High Protein,37.32,28.16,4.74,8.03,25,354.23,31,2.52
230,Carp,27,2.24,Medium Protein,34.07,28.11,6.53,7.31,7,375.2,47,3.64
230,Carp,28,2.31,Medium Protein,34.85,27.74,5.35,7.64,13,346.99,39,3.08
230,Carp,29,2.38,High Protein,33.9,23.57,4.42,6.92,5,230.55,44,3.43
230,Carp,30,2.45,Low Protein,40.63,21.9,5.59,8.24,9,256.92,43,3.36
230,Carp,31,2.52,High Protein,45.14,23.14,6.35,7.15,26,252.13,40,3.15
230,Carp,32,2.59,High Protein,44.79,21.73,5.22,7.43,24,214.84,48,3.71
230,Carp,33,2.66,Medium Protein,43.66,28.51,6.33,6.89,14,292.97,45,3.5
230,Carp,34,2.73,Low Protein,45.16,24.21,7.65,6.91,13,366.86,49,3.78
230,Carp,35,2.8,High Protein,42.17,28.12,5.61,7.38,5,224.09,41,3.22
230,Carp,36,2.87,Low Protein,41.68,22.9,7.77,6.89,17,398.42,42,3.29
230,Carp,37,2.94,Medium Protein,43.09,21.44,7.44,8.49,10,387.38,50,3.85
230,Carp,38,3.01,Low Protein,40.91,28.71,4.09,7.62,14,386.01,41,3.22
230,Carp,39,3.08,Medium Protein,47.14,27.99,6.68,6.63,5,329.35,45,3.5
230,Carp,40,3.15,Low Protein,43.25,25.56,5.36,6.68,18,301.41,50,3.85
230,Carp,41,3.22,High Protein,49.83,21.23,5.02,7.42,28,305.46,47,3.64
230,Carp,42,3.29,Medium Protein,44.8,23.36,6.95,6.6,23,272.5,47,3.64
230,Carp,43,3.36,High Protein,45.88,20.58,6.92,7.99,7,227.01,45,3.5
230,Carp,44,3.43,Medium Protein,53.87,28.98,6.75,7.91,19,243.74,40,3.43
230,Carp,45,3.5,Low Protein,46.05,22.4,4.15,8.01,8,244.32,49,3.78
230,Carp,46,3.57,Low Protein,50.69,25.23,6.37,8.01,27,338.45,40,3.57
230,Carp,47,3.64,Medium Protein,47.03,29.42,6.38,6.87,16,306.8,48,3.71
230,Carp,48,3.71,Medium Protein,48.0,26.23,7.87,8.29,12,327.64,41,3.71
230,Carp,49,3.78,Medium Protein,54.14,26.23,7.12,8.17,8,367.01,44,3.78
230,Carp,50,3.85,Low Protein,54.81,28.33,5.44,7.58,23,316.38,51,3.92
230,Carp,51,3.92,Medium Protein,51.13,26.93,6.55,7.0,23,226.85,46,3.92
230,Carp,52,3.99,Medium Protein,58.62,24.86,7.56,8.31,18,219.01,51,3.99
231,Tilapia,1,0.5,High Protein,22.02,21.22,7.26,8.04,27,211.94,26,2.5
231,Tilapia,2,0.58,Medium Protein,18.81,24.97,5.74,6.51,24,373.93,18,1.86
231,Tilapia,3,0.66,High Protein,19.08,21.82,7.7,7.29,22,366.26,22,2.18
231,Tilapia,4,0.74,High Protein,24.94,24.92,7.89,7.25,8,222.32,49,4.34
231,Tilapia,5,0.82,High Protein,25.54,20.22,7.08,7.69,21,275.02,24,2.34
231,Tilapia,6,0.9,Low Protein,20.49,23.52,4.7,7.0,5,276.83,37,3.38
231,Tilapia,7,0.98,High Protein,23.29,20.55,6.99,8.29,20,316.88,37,3.38
231,Tilapia,8,1.06,Medium Protein,22.77,21.46,5.61,6.8,6,374.78,14,1.54
231,Tilapia,9,1.14,Low Protein,24.34,26.95,4.98,7.03,25,220.35,18,1.86
231,Tilapia,10,1.22,Low Protein,25.08,29.76,4.46,6.97,12,282.02,32,2.98
231,Tilapia,11,1.3,Low Protein,32.76,25.65,4.41,6.79,9,294.76,35,3.22
231,Tilapia,12,1.38,Low Protein,31.3,21.69,5.61,7.21,23,235.13,21,2.1
231,Tilapia,13,1.46,Low Protein,32.4,23.76,6.25,6.97,20,317.09,51,4.5
231,Tilapia,14,1.54,Low Protein,28.17,22.34,6.71,7.52,17,378.79,40,3.62
231,Tilapia,15,1.62,Low Protein,26.21,20.48,7.47,8.38,24,331.2,28,2.66
231,Tilapia,16,1.7,High Protein,27.58,29.13,4.58,6.59,9,363.79,25,2.42
231,Tilapia,17,1.78,Medium Protein,33.33,25.42,5.26,8.06,11,224.53,47,4.18
231,Tilapia,18,1.86,Medium Protein,31.45,21.49,4.13,8.16,26,306.06,43,3.86
231,Tilapia,19,1.94,High Protein,31.33,27.46,6.66,6.65,16,367.11,34,3.14
231,Tilapia,20,2.02,High Protein,30.7,21.71,4.09,7.22,8,312.87,49,4.34
231,Tilapia,21,2.1,Low Protein,39.76,22.07,4.18,8.22,17,254.99,40,3.62
231,Tilapia,22,2.18,Low Protein,37.8,26.02,6.39,7.67,9,239.1,51,4.5
231,Tilapia,23,2.26,High Protein,33.67,24.26,4.77,7.6,5,310.79,41,3.7
231,Tilapia,24,2.34,Low Protein,41.06,28.95,6.63,7.17,21,238.89,41,3.7
231,Tilapia,25,2.42,Medium Protein,41.76,25.97,5.43,6.65,23,396.0,43,3.86
231,Tilapia,26,2.5,Medium Protein,37.89,21.82,5.04,7.14,12,384.65,45,4.02
231,Tilapia,27,2.58,Low Protein,37.68,24.75,7.04,6.56,15,363.11,32,2.98
231,Tilapia,28,2.66,Low Protein,44.74,27.27,6.97,7.13,17,205.18,44,3.94
231,Tilapia,29,2.74,Low Protein,40.7,26.0,4.24,8.35,7,287.62,47,4.18
231,Tilapia,30,2.82,Medium Protein,46.67,23.21,6.9,8.13,10,223.6,46,4.1
231,Tilapia,31,2.9,Low Protein,39.44,23.86,7.78,6.86,19,265.3,47,4.18
231,Tilapia,32,2.98,High Protein,44.79,26.66,5.89,7.32,6,228.57,43,3.86
231,Tilapia,33,3.06,Low Protein,42.4,25.19,6.13,8.05,11,270.33,43,3.86
231,Tilapia,34,3.14,High Protein,48.12,20.74,5.35,8.43,12,212.43,43,3.86
231,Tilapia,35,3.22,Low Protein,52.17,25.49,7.06,7.63,10,315.98,46,4.1
231,Tilapia,36,3.3,Low Protein,47.13,24.55,7.06,7.11,29,299.0,50,4.42
231,Tilapia,37,3.38,Medium Protein,44.8,28.15,7.57,7.57,13,217.86,45,4.02
231,Tilapia,38,3.46,High Protein,47.78,21.12,6.89,8.41,21,317.29,50,4.42
231,Tilapia,39,3.54,High Protein,54.32,20.01,7.92,7.95,6,238.85,49,4.34
231,Tilapia,40,3.62,High Protein,53.86,28.21,7.88,6.51,17,254.69,42,3.78
231,Tilapia,41,3.7,Medium Protein,49.32,22.11,5.63,7.96,10,307.53,43,3.86
231,Tilapia,42,3.78,High Protein,57.34,20.32,6.89,7.91,21,389.8,51,4.5
231,Tilapia,43,3.86,Medium Protein,54.82,22.21,4.07,8.09,6,373.2,49,4.34
231,Tilapia,44,3.94,Low Protein,51.08,28.86,5.54,7.97,23,310.95,46,4.1
231,Tilapia,45,4.02,Low Protein,55.92,21.71,5.63,7.04,5,259.72,44,4.02
231,Tilapia,46,4.1,High Protein,55.51,23.2,7.32,8.47,6,202.67,48,4.26
231,Tilapia,47,4.18,Low Protein,60.0,26.11,5.09,7.76,14,396.52,47,4.18
231,Tilapia,48,4.26,Low Protein,56.04,21.79,4.86,8.18,24,309.19,45,4.26
231,Tilapia,49,4.34,High Protein,62.15,26.45,5.85,6.52,29,309.14,51,4.5
231,Tilapia,50,4.42,Low Protein,62.32,27.07,4.91,7.06,27,396.03,44,4.42
231,Tilapia,51,4.5,High Protein,61.75,22.31,4.7,8.28,7,308.16,42,4.5
231,Tilapia,52,4.58,High Protein,58.39,20.96,5.9,6.61,27,206.4,43,4.58
232,Carp,1,0.37,Low Protein,23.4,24.02,5.09,7.1,14,273.91,23,1.91
232,Carp,2,0.44,Low Protein,19.89,26.99,4.49,6.6,26,323.14,18,1.56
232,Carp,3,0.51,Low Protein,24.18,28.14,5.02,6.75,19,235.33,18,1.56
232,Carp,4,0.58,Low Protein,17.96,20.37,6.99,7.41,21,388.2,48,3.66
232,Carp,5,0.65,Low Protein,26.33,25.37,4.44,7.19,17,301.83,17,1.49
232,Carp,6,0.72,Medium Protein,25.36,22.57,4.38,8.36,12,359.89,27,2.19
232,Carp,7,0.79,Low Protein,27.39,24.16,5.63,7.08,6,339.71,27,2.19
232,Carp,8,0.86,Medium Protein,20.72,25.29,4.65,8.0,14,217.67,33,2.61
232,Carp,9,0.93,High Protein,23.61,27.35,5.55,6.81,22,271.0,19,1.63
232,Carp,10,1.0,Low Protein,20.98,20.4,7.66,6.51,28,351.05,42,3.24
232,Carp,11,1.07,Low Protein,22.07,21.7,4.59,7.35,21,371.96,37,2.89
232,Carp,12,1.14,Low Protein,24.24,26.16,6.87,7.85,7,339.7,21,1.77
232,Carp,13,1.21,High Protein,31.62,24.41,4.3,8.02,10,361.41,34,2.68
232,Carp,14,1.28,Medium Protein,29.47,22.1,7.11,6.63,23,286.77,43,3.31
232,Carp,15,1.35,Medium Protein,26.65,20.65,7.74,7.69,23,258.35,34,2.68
232,Carp,16,1.42,Low Protein,33.75,29.15,7.11,6.86,13,299.86,36,2.82
232,Carp,17,1.49,Low Protein,32.3,23.63,7.53,7.53,13,294.83,31,2.47
232,Carp,18,1.56,Low Protein,34.67,24.11,6.97,8.28,14,211.08,33,2.61
232,Carp,19,1.63,Low Protein,35.57,20.49,5.1,6.58,20,290.47,34,2.68
232,Carp,20,1.7,High Protein,34.51,27.39,4.92,7.71,28,223.23,49,3.73
232,Carp,21,1.77,Low Protein,30.13,29.92,7.6,7.39,15,210.54,40,3.1
232,Carp,22,1.84,High Protein,38.37,29.78,4.13,6.67,14,349.99,41,3.17
232,Carp,23,1.91,Low Protein,32.35,23.11,6.16,8.13,11,260.18,42,3.24
232,Carp,24,1.98,Medium Protein,36.52,29.61,5.35,8.45,12,310.96,50,3.8
232,Carp,25,2.05,Medium Protein,38.95,24.08,7.65,8.12,25,307.99,34,2.68
232,Carp,26,2.12,Low Protein,32.95,23.87,4.66,7.02,18,390.3,39,3.03
232,Carp,27,2.19,Low Protein,37.99,28.32,5.47,7.11,9,336.61,41,3.17
232,Carp,28,2.26,High Protein,36.35,27.92,4.39,7.94,19,250.22,41,3.17
232,Carp,29,2.33,Low Protein,35.74,24.75,7.75,7.73,26,396.62,38,2.96
232,Carp,30,2.4,Low Protein,34.12,24.47,5.34,7.19,6,212.86,42,3.24
232,Carp,31,2.47,Low Protein,43.42,29.68,5.49,6.98,12,243.66,50,3.8
232,Carp,32,2.54,Medium Protein,36.76,24.09,4.24,7.18,25,233.01,40,3.1
232,Carp,33,2.61,High Protein,44.88,28.62,4.41,8.01,8,235.91,41,3.17
232,Carp,34,2.68,Medium Protein,42.81,27.46,7.73,8.11,17,354.05,42,3.24
232,Carp,35,2.75,High Protein,43.71,21.07,6.59,7.18,6,337.99,47,3.59
232,Carp,36,2.82,Medium Protein,46.49,21.59,6.45,7.66,27,200.43,47,3.59
232,Carp,37,2.89,Low Protein,43.99,20.37,7.15,6.6,28,267.57,49,3.73
232,Carp,38,2.96,Medium Protein,43.17,20.35,6.52,7.21,19,335.98,41,3.17
232,Carp,39,3.03,Medium Protein,41.69,26.04,5.02,7.57,11,387.53,50,3.8
232,Carp,40,3.1,High Protein,46.7,20.77,7.65,8.34,13,291.33,45,3.45
232,Carp,41,3.17,High Protein,47.23,21.36,4.98,6.61,23,344.8,48,3.66
232,Carp,42,3.24,Medium Protein,45.34,22.44,7.28,8.05,29,306.92,40,3.24
232,Carp,43,3.31,High Protein,49.1,25.53,5.12,7.7,15,357.44,50,3.8
232,Carp,44,3.38,High Protein,48.19,22.29,5.02,7.11,10,309.87,45,3.45
232,Carp,45,3.45,High Protein,52.56,23.96,6.32,7.98,5,253.78,49,3.73
232,Carp,46,3.52,High Protein,50.79,23.53,4.54,6.77,10,263.06,47,3.59
232,Carp,47,3.59,High Protein,55.24,23.96,5.5,7.86,13,374.54,45,3.59
232,Carp,48,3.66,Medium Protein,51.78,29.29,6.02,6.53,18,366.65,40,3.66
232,Carp,49,3.73,High Protein,56.17,29.7,7.57,6.97,23,312.6,48,3.73
232,Carp,50,3.8,Low Protein,53.21,20.72,5.53,7.04,19,320.88,48,3.8
232,Carp,51,3.87,Medium Protein,54.28,21.11,4.18,6.67,22,252.65,48,3.87
232,Carp,52,3.94,Medium Protein,53.07,20.55,7.27,7.04,19,234.72,42,3.94
233,Catfish,1,0.43,Medium Protein,18.3,23.88,6.47,8.04,26,200.8,34,3.73
233,Catfish,2,0.53,High Protein,24.63,28.51,6.72,6.53,17,350.83,12,1.53
233,Catfish,3,0.63,Low Protein,18.53,28.0,4.36,7.44,16,242.78,48,5.13
233,Catfish,4,0.73,High Protein,18.51,23.55,4.71,7.52,13,373.43,10,1.33
233,Catfish,5,0.83,Medium Protein,26.6,27.51,6.19,8.02,18,395.77,51,5.43
233,Catfish,6,0.93,Medium Protein,25.07,29.79,4.81,8.34,7,335.83,48,5.13
233,Catfish,7,1.03,Medium Protein,23.15,21.94,7.27,7.98,29,388.32,19,2.23
233,Catfish,8,1.13,Medium Protein,25.62,29.64,4.1,7.89,11,383.45,51,5.43
233,Catfish,9,1.23,High Protein,27.55,27.71,7.27,7.9,8,239.96,38,4.13
233,Catfish,10,1.33,Low Protein,29.22,21.15,5.86,6.73,18,374.24,42,4.53
233,Catfish,11,1.43,Low Protein,32.51,27.95,6.36,8.13,11,343.45,21,2.43
233,Catfish,12,1.53,Medium Protein,29.24,21.02,4.8,6.65,6,229.66,49,5.23
233,Catfish,13,1.63,Low Protein,33.07,20.3,5.55,6.78,28,349.25,47,5.03
233,Catfish,14,1.73,Medium Protein,35.65,27.65,6.3,7.45,8,296.92,43,4.63
233,Catfish,15,1.83,Medium Protein,36.74,28.95,4.64,8.44,6,210.76,27,3.03
233,Catfish,16,1.93,Low Protein,31.84,24.0,5.56,8.0,22,353.3,44,4.73
233,Catfish,17,2.03,Medium Protein,33.8,20.24,6.7,6.7,18,375.81,24,2.73
233,Catfish,18,2.13,Low Protein,37.25,25.98,7.61,6.62,27,362.88,30,3.33
233,Catfish,19,2.23,Medium Protein,41.16,22.33,5.03,7.72,25,201.99,33,3.63
233,Catfish,20,2.33,Low Protein,41.2,25.44,7.04,6.68,8,318.15,28,3.13
233,Catfish,21,2.43,Medium Protein,40.14,23.18,4.51,6.89,19,336.15,40,4.33
233,Catfish,22,2.53,Low Protein,45.14,26.22,4.75,7.97,24,375.71,33,3.63
233,Catfish,23,2.63,Medium Protein,40.69,22.6,7.24,7.71,5,216.65,42,4.53
233,Catfish,24,2.73,Medium Protein,45.72,21.48,7.45,6.84,9,313.86,47,5.03
233,Catfish,25,2.83,Medium Protein,46.48,27.52,6.17,6.95,23,325.2,34,3.73
233,Catfish,26,2.93,Low Protein,48.38,25.39,4.67,7.13,17,279.47,50,5.33
233,Catfish,27,3.03,High Protein,50.18,23.17,4.74,8.01,20,386.83,41,4.43
233,Catfish,28,3.13,Medium Protein,46.26,26.28,7.79,7.23,25,259.91,44,4.73
233,Catfish,29,3.23,Medium Protein,44.26,22.87,6.22,7.86,22,382.61,49,5.23
233,Catfish,30,3.33,Low Protein,47.91,23.65,5.25,7.93,24,231.53,39,4.23
233,Catfish,31,3.43,Medium Protein,52.84,23.76,6.35,7.6,17,390.94,40,4.33
233,Catfish,32,3.53,Medium Protein,53.66,22.26,5.11,8.02,11,363.29,42,4.53
233,Catfish,33,3.63,Medium Protein,49.66,24.41,6.96,6.78,24,284.6,51,5.43
233,Catfish,34,3.73,Medium Protein,47.77,28.15,4.69,7.61,24,287.92,42,4.53
233,Catfish,35,3.83,High Protein,53.4,29.71,5.09,8.35,9,330.0,45,4.83
233,Catfish,36,3.93,High Protein,54.04,22.19,6.88,7.15,11,332.91,45,4.83
233,Catfish,37,4.03,Medium Protein,51.16,29.39,4.2,6.73,27,215.85,43,4.63
233,Catfish,38,4.13,Medium Protein,59.25,22.78,7.98,7.13,16,291.39,45,4.83
233,Catfish,39,4.23,Medium Protein,55.14,24.7,5.33,7.15,25,226.15,49,5.23
233,Catfish,40,4.33,High Protein,59.76,21.01,6.79,8.31,17,257.22,46,4.93
233,Catfish,41,4.43,High Protein,55.31,26.08,4.33,8.4,24,389.83,47,5.03
233,Catfish,42,4.53,Low Protein,63.91,25.11,6.27,7.78,21,339.97,46,4.93
233,Catfish,43,4.63,Low Protein,63.69,26.79,6.14,7.59,12,263.43,46,4.93
233,Catfish,44,4.73,Medium Protein,61.18,26.0,5.05,7.21,22,214.32,45,4.83
233,Catfish,45,4.83,Medium Protein,64.59,29.81,5.39,7.67,21,325.06,41,4.83
233,Catfish,46,4.93,High Protein,61.17,27.7,7.4,6.73,10,296.38,40,4.93
233,Catfish,47,5.03,Medium Protein,70.15,29.65,4.93,8.17,15,216.61,50,5.33
233,Catfish,48,5.13,Medium Protein,69.26,25.26,6.76,6.52,25,376.06,45,5.13
233,Catfish,49,5.23,High Protein,70.19,22.81,5.8,6.81,6,313.9,42,5.23
233,Catfish,50,5.33,High Protein,64.83,25.32,6.04,7.29,19,273.9,50,5.33
233,Catfish,51,5.43,High Protein,64.48,24.67,5.47,6.9,23,201.25,43,5.43
233,Catfish,52,5.53,High Protein,71.15,24.27,7.14,7.71,7,206.64,42,5.53
234,Catfish,1,0.4,Low Protein,15.44,24.01,4.02,8.43,23,398.03,48,5.1
234,Catfish,2,0.5,High Protein,22.8,28.11,4.71,8.29,14,227.66,37,4.0
234,Catfish,3,0.6,High Protein,20.16,27.41,5.43,8.27,23,342.99,25,2.8
234,Catfish,4,0.7,Medium Protein,20.39,26.44,4.83,6.73,5,342.85,41,4.4
234,Catfish,5,0.8,Medium Protein,18.74,26.45,6.18,7.59,9,326.26,51,5.4
234,Catfish,6,0.9,Medium Protein,28.96,23.74,6.76,8.45,13,243.36,36,3.9
234,Catfish,7,1.0,Low Protein,29.56,24.38,6.35,7.52,6,265.52,31,3.4
234,Catfish,8,1.1,High Protein,22.32,21.53,5.97,7.14,5,384.42,49,5.2
234,Catfish,9,1.2,High Protein,25.33,25.79,6.77,6.82,10,248.2,37,4.0
234,Catfish,10,1.3,Low Protein,26.91,21.4,7.55,7.77,12,241.89,24,2.7
234,Catfish,11,1.4,High Protein,26.97,29.15,6.75,7.5,23,307.38,26,2.9
234,Catfish,12,1.5,Medium Protein,34.34,24.16,6.67,6.71,19,389.44,29,3.2
234,Catfish,13,1.6,Low Protein,33.21,20.43,7.7,7.28,17,398.31,43,4.6
234,Catfish,14,1.7,High Protein,36.56,20.02,7.83,7.76,17,272.42,38,4.1
234,Catfish,15,1.8,Low Protein,36.75,26.76,4.83,7.39,16,370.56,22,2.5
234,Catfish,16,1.9,Low Protein,36.55,26.12,5.31,7.98,29,389.38,22,2.5
234,Catfish,17,2.0,High Protein,36.97,27.7,4.05,7.56,24,290.52,25,2.8
234,Catfish,18,2.1,Medium Protein,39.66,27.49,5.42,8.33,19,306.09,46,4.9
234,Catfish,19,2.2,High Protein,38.84,20.03,6.9,6.7,29,374.21,36,3.9
234,Catfish,20,2.3,High Protein,34.89,21.67,7.9,6.81,22,234.42,25,2.8
234,Catfish,21,2.4,Medium Protein,40.48,23.26,4.05,6.77,9,385.32,46,4.9
234,Catfish,22,2.5,High Protein,40.15,20.62,4.46,7.49,9,214.08,37,4.0
234,Catfish,23,2.6,High Protein,45.82,21.78,6.1,7.27,21,326.01,44,4.7
234,Catfish,24,2.7,High Protein,42.1,25.81,4.44,7.69,8,315.3,51,5.4
234,Catfish,25,2.8,Low Protein,38.38,24.57,4.2,7.82,10,313.17,45,4.8
234,Catfish,26,2.9,Low Protein,41.64,28.61,5.77,6.77,9,204.6,48,5.1
234,Catfish,27,3.0,Low Protein,49.17,22.24,6.88,7.53,13,251.0,51,5.4
234,Catfish,28,3.1,High Protein,50.62,25.35,5.34,7.87,27,302.85,41,4.4
234,Catfish,29,3.2,Medium Protein,49.28,28.62,4.82,7.62,29,385.1,45,4.8
234,Catfish,30,3.3,Low Protein,43.57,20.6,5.38,8.18,12,384.14,47,5.0
234,Catfish,31,3.4,Medium Protein,44.24,28.7,4.52,8.12,12,215.78,46,4.9
234,Catfish,32,3.5,High Protein,49.8,23.44,5.42,7.45,6,227.13,41,4.4
234,Catfish,33,3.6,Low Protein,56.0,28.6,5.97,7.18,18,314.52,46,4.9
234,Catfish,34,3.7,High Protein,55.69,26.82,4.29,7.35,17,361.4,45,4.8
234,Catfish,35,3.8,Medium Protein,57.33,26.73,6.19,8.42,24,360.01,47,5.0
234,Catfish,36,3.9,Low Protein,55.24,20.48,6.04,8.14,26,271.75,45,4.8
234,Catfish,37,4.0,Low Protein,58.59,29.41,5.64,8.1,14,203.59,45,4.8
234,Catfish,38,4.1,Low Protein,54.2,24.31,6.49,7.69,9,263.71,49,5.2
234,Catfish,39,4.2,Low Protein,52.27,21.08,7.74,7.39,7,201.89,40,4.3
234,Catfish,40,4.3,Medium Protein,62.18,27.67,5.3,8.42,27,249.69,48,5.1
234,Catfish,41,4.4,Low Protein,56.18,28.67,4.53,6.53,29,342.72,43,4.6
234,Catfish,42,4.5,High Protein,62.28,29.29,6.96,6.84,17,201.04,49,5.2
234,Catfish,43,4.6,Low Protein,62.59,25.06,5.0,7.75,20,251.73,42,4.6
234,Catfish,44,4.7,Medium Protein,58.58,24.04,6.9,6.84,27,328.54,46,4.9
234,Catfish,45,4.8,Low Protein,59.96,25.83,5.11,6.51,25,248.77,45,4.8
234,Catfish,46,4.9,Medium Protein,62.29,22.97,4.46,7.0,26,252.98,42,4.9
234,Catfish,47,5.0,Medium Protein,67.57,23.93,8.0,6.83,5,351.31,51,5.4
234,Catfish,48,5.1,High Protein,61.39,25.39,6.12,8.36,16,234.54,51,5.4
234,Catfish,49,5.2,Low Protein,66.07,28.24,6.97,8.0,24,344.14,44,5.2
234,Catfish,50,5.3,Low Protein,69.65,28.53,5.57,7.58,15,385.7,47,5.3
234,Catfish,51,5.4,Low Protein,65.71,21.31,7.63,7.33,16,297.59,43,5.4
234,Catfish,52,5.5,High Protein,66.19,21.34,7.31,7.51,12,219.29,40,5.5
235,Carp,1,0.25,High Protein,16.4,21.84,7.32,7.68,19,215.37,8,0.74
235,Carp,2,0.32,Medium Protein,16.07,25.96,7.19,7.44,27,221.75,41,3.05
235,Carp,3,0.39,Medium Protein,20.39,22.03,6.33,6.92,24,207.91,9,0.81
235,Carp,4,0.46,Medium Protein,24.3,26.13,5.93,6.92,8,391.15,29,2.21
235,Carp,5,0.53,High Protein,15.34,27.25,6.61,7.5,28,257.54,28,2.14
235,Carp,6,0.6,High Protein,25.02,28.59,5.1,7.04,6,247.51,12,1.02
235,Carp,7,0.67,High Protein,21.03,28.67,6.15,6.73,9,230.32,28,2.14
235,Carp,8,0.74,Medium Protein,24.04,22.15,6.72,6.6,22,237.78,37,2.77
235,Carp,9,0.81,High Protein,26.61,23.12,4.37,6.56,15,346.21,25,1.93
235,Carp,10,0.88,Medium Protein,24.53,21.82,7.02,7.51,8,249.85,32,2.42
235,Carp,11,0.95,Medium Protein,20.47,26.8,5.89,8.25,10,231.38,41,3.05
235,Carp,12,1.02,Low Protein,21.61,26.87,7.8,6.94,24,377.54,42,3.12
235,Carp,13,1.09,Low Protein,28.79,20.04,7.8,6.81,14,265.38,51,3.75
235,Carp,14,1.16,Low Protein,23.89,21.65,7.37,8.39,18,229.69,36,2.7
235,Carp,15,1.23,Medium Protein,27.99,23.35,5.7,6.65,6,394.88,28,2.14
235,Carp,16,1.3,Low Protein,27.28,22.07,6.88,6.83,11,324.12,48,3.54
235,Carp,17,1.37,Low Protein,26.74,25.51,4.89,7.04,26,300.8,50,3.68
235,Carp,18,1.44,Low Protein,32.27,20.4,5.16,7.48,24,334.07,50,3.68
235,Carp,19,1.51,High Protein,32.41,28.26,6.31,6.61,6,272.25,24,1.86
235,Carp,20,1.58,Medium Protein,32.26,24.66,6.96,7.93,6,359.09,49,3.61
235,Carp,21,1.65,Low Protein,30.23,25.94,5.75,8.15,5,297.13,39,2.91
235,Carp,22,1.72,High Protein,29.46,25.8,7.15,7.66,25,232.1,33,2.49
235,Carp,23,1.79,High Protein,33.06,24.51,6.55,8.07,10,362.45,33,2.49
235,Carp,24,1.86,High Protein,36.77,25.67,5.27,7.7,18,267.37,40,2.98
235,Carp,25,1.93,Low Protein,35.06,20.76,5.12,7.57,12,324.36,39,2.91
235,Carp,26,2.0,High Protein,39.7,23.85,7.16,7.97,28,269.16,51,3.75
235,Carp,27,2.07,Medium Protein,30.85,27.1,5.2,8.29,18,260.53,38,2.84
235,Carp,28,2.14,High Protein,41.38,23.66,4.85,8.0,18,200.98,47,3.47
235,Carp,29,2.21,High Protein,39.01,22.54,6.92,7.04,19,381.67,50,3.68
235,Carp,30,2.28,High Protein,41.13,25.65,4.26,6.92,14,210.39,47,3.47
235,Carp,31,2.35,High Protein,36.85,24.77,4.85,7.08,23,343.55,41,3.05
235,Carp,32,2.42,Medium Protein,39.28,25.33,7.39,7.44,19,322.21,51,3.75
235,Carp,33,2.49,Low Protein,42.87,29.58,6.17,7.4,6,204.7,49,3.61
235,Carp,34,2.56,Medium Protein,43.21,21.5,6.17,7.19,28,342.31,48,3.54
235,Carp,35,2.63,Medium Protein,39.64,26.16,7.43,6.79,6,240.1,45,3.33
235,Carp,36,2.7,Low Protein,40.24,20.31,7.25,8.47,14,294.95,51,3.75
235,Carp,37,2.77,High Protein,44.33,26.47,7.14,7.96,23,322.39,43,3.19
235,Carp,38,2.84,Low Protein,47.74,21.97,5.42,6.9,22,206.1,41,3.05
235,Carp,39,2.91,Low Protein,43.49,28.07,4.79,7.49,5,366.73,47,3.47
235,Carp,40,2.98,Medium Protein,43.33,22.7,6.18,7.16,21,283.89,44,3.26
235,Carp,41,3.05,Low Protein,49.45,24.01,6.22,8.27,25,226.53,49,3.61
235,Carp,42,3.12,High Protein,48.03,25.16,4.19,8.02,19,289.58,48,3.54
235,Carp,43,3.19,Medium Protein,45.78,26.1,5.68,7.12,8,311.92,51,3.75
235,Carp,44,3.26,High Protein,43.17,22.99,6.15,8.19,24,232.74,42,3.26
235,Carp,45,3.33,Medium Protein,50.51,21.57,5.95,6.67,26,323.24,51,3.75
235,Carp,46,3.4,High Protein,47.53,26.35,7.93,8.02,15,319.61,50,3.68
235,Carp,47,3.47,Low Protein,45.41,24.42,4.85,7.04,9,266.28,45,3.47
235,Carp,48,3.54,Low Protein,51.52,20.58,4.63,6.98,6,282.29,40,3.54
235,Carp,49,3.61,Low Protein,49.33,25.37,7.53,7.54,5,307.8,51,3.75
235,Carp,50,3.68,High Protein,50.18,24.67,7.74,6.94,10,271.63,50,3.68
235,Carp,51,3.75,Medium Protein,52.29,25.12,7.44,6.57,16,287.9,51,3.75
